20:05:38  [main] 	Initializing Control Panel
20:05:38  [main] 	Windows Version:  Home  64-bit
20:05:38  [main] 	XAMPP Version: 7.3.14
20:05:38  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
20:05:38  [main] 	You are not running with administrator rights! This will work for
20:05:38  [main] 	most application stuff but whenever you do something with services
20:05:38  [main] 	there will be a security dialogue or things will break! So think 
20:05:38  [main] 	about running this application with administrator rights!
20:05:38  [main] 	XAMPP Installation Directory: "d:\lab\xampp\"
20:05:39  [main] 	Checking for prerequisites
20:05:40  [main] 	All prerequisites found
20:05:40  [main] 	Initializing Modules
20:05:40  [main] 	Starting Check-Timer
20:05:40  [main] 	Control Panel Ready
20:13:23  [Apache] 	Attempting to start Apache app...
20:13:24  [Apache] 	Status change detected: running
20:13:24  [mysql] 	Attempting to start MySQL app...
20:13:25  [mysql] 	Status change detected: running
20:47:26  [Apache] 	Attempting to stop Apache (PID: 14332)
20:47:26  [Apache] 	Attempting to stop Apache (PID: 21740)
20:47:27  [Apache] 	Status change detected: stopped
20:47:27  [mysql] 	Attempting to stop MySQL app...
20:47:27  [mysql] 	Status change detected: stopped
22:50:16  [main] 	Deinitializing Modules
22:50:16  [main] 	Deinitializing Control Panel

